alpha_3_code,mean_grp,n,n_studies,mean_mic_ori,sd_mic_ori,mean_lo_ori,mean_hi_ori,change_mean_ori,change_se_ori,ci_change_lo_ori,ci_change_hi_ori,mean_year,entity,who_region
NOR,2,1,1,0.016,NA,NA,NA,0.0010000000000000009,NA,NA,NA,2003,Norway,Europe
POL,1,103,3,0.014184466019417476,0.0022567874651924324,0.013743400390911802,0.01462553164792315,NA,NA,NA,NA,2002,Poland,Europe
POL,2,764,3,0.02220549738219895,0.007499125061328508,0.021672897007667814,0.022738097756730087,0.008021031362781475,3.5079331492171193e-4,0.007332525720641255,0.008709537004921695,2002,Poland,Europe
PRT,1,557,3,0.013228007181328546,0.0024140040650022974,0.013027095629975496,0.013428918732681596,NA,NA,NA,NA,2003,Portugal,Europe
PRT,2,3,1,0.016,0,0.016,0.016,0.0027719928186714544,1.0228463494341361e-4,0.0025710828382297423,0.0029729027991131666,2003,Portugal,Europe
SRB,1,3113,2,0.03,0,0.03,0.03,NA,NA,NA,NA,1988,Serbia,Europe
SRB,2,2169,1,0.03,0,0.03,0.03,0,0,0,0,1988,Serbia,Europe
SWE,1,291,3,0.015003436426116838,5.862103817605497e-5,0.014996672928191058,0.015010199924042619,NA,NA,NA,NA,1999,Sweden,Europe
SWE,2,262,4,0.014335877862595419,0.0020626608824670578,0.014084952942039052,0.014586802783151786,-6.675585635214192e-4,1.2747794122108778e-4,-9.179607667802565e-4,-4.171563602625818e-4,1999,Sweden,Europe
TUR,1,240,2,0.013454166666666666,0.002909726750555965,0.013084168600964686,0.013824164732368647,NA,NA,NA,NA,2008,Turkey,Europe
TUR,2,222,1,0.025563063063063062,0.02007616911018637,0.022907618280499663,0.02821850784562646,0.012108896396396396,0.001360451845434239,0.009435425592342459,0.014782367200450333,2008,Turkey,Europe
USA,1,1131,7,0.013922546419098144,0.007401335389334125,0.013490736817449243,0.014354356020747045,NA,NA,NA,NA,1993,United States,Americas
USA,2,2865,11,0.015531239092495637,0.009821547648904437,0.015171448932154937,0.015891029252836336,0.0016086926733974924,2.865382950365811e-4,0.0010469176922973675,0.0021704676544976173,1993,United States,Americas
UNCLASSIFIED,1,2164,3,0.008,0,0.008,0.008,NA,NA,NA,NA,2004,UNCLASSIFIED,Unclassifed
UNCLASSIFIED,2,282,2,0.014992907801418438,0.0029041544763985776,0.0146524856575844,0.015333329945252477,0.006992907801418438,1.7293988238020888e-4,0.006653783914429746,0.00733203168840713,2004,UNCLASSIFIED,Unclassifed
GLOBAL,1,22799,54,0.02029994297995526,0.011941468339689678,0.020144928959284002,0.02045495700062652,NA,NA,NA,NA,NA,GLOBAL,Unclassifed
GLOBAL,2,17831,50,0.022716841455891423,0.01857763467063924,0.022444144593100318,0.02298953831868253,0.0024168984759361627,1.6003166825171415e-4,0.0021032328252450798,0.0027305641266272456,NA,GLOBAL,Unclassifed
