alpha_3_code,mean_grp,mean_mic,sd_mic,n,n_studies,mean_lo,mean_hi,change_mean,change_se,ci_change_lo,ci_change_hi,mean_year,entity,who_region
FRA,2,0.014812206572769953,0.0021896931193951374,213,3,0.014516454436257709,0.015107958709282197,3.553537808917793e-4,2.0212717645358823e-4,-4.1406974132553664e-5,7.521145359161122e-4,2000,France,Europe
GBR,1,0.012096385542168674,0.003793501485854941,166,4,0.011515043952790845,0.012677727131546503,NA,NA,NA,NA,2001,United Kingdom,Europe
GBR,2,0.015004405286343612,6.637233115999726e-5,227,2,0.014995724598049855,0.01501308597463737,0.0029080197441749382,2.944657712237018e-4,0.0023290854091031167,0.0034869540792467598,2001,United Kingdom,Europe
GRC,1,0.004,0,49,1,0.004,0.004,NA,NA,NA,NA,1998,Greece,Europe
GRC,2,0.009170212765957447,0.0026158919135493954,329,2,0.008886502270976718,0.009453923260938177,0.005170212765957447,1.4421878962454703e-4,0.0048866363363984505,0.005453789195516444,1998,Greece,Europe
HKG,1,0.008,0,25,1,0.008,0.008,NA,NA,NA,NA,2001,Hong Kong,Unclassifed
HKG,2,0.015,0,26,1,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,2001,Hong Kong,Unclassifed
HUN,1,0.027187214611872144,0.007363225074003083,219,2,0.026206569558028497,0.02816785966571579,NA,NA,NA,NA,2001,Hungary,Europe
HUN,2,0.015,0,315,1,0.015,0.015,-0.012187214611872145,4.975606408072204e-4,-0.013164639219171383,-0.011209790004572907,2001,Hungary,Europe
IND,1,0.02423076923076923,0.017303196219213356,78,1,0.020329501290290864,0.028132037171247595,NA,NA,NA,NA,2013,India,South-East Asia
IND,2,0.016,0,206,1,0.016,0.016,-0.008230769230769229,0.001959201169631288,-0.012087284128546916,-0.004374254332991542,2013,India,South-East Asia
ISL,1,0.0179,0.005506561742341787,10,1,0.013960843029461947,0.02183915697053805,NA,NA,NA,NA,2004,Iceland,Europe
ISL,2,0.014,0.0021908902300206644,6,2,0.011700801709516404,0.016299198290483596,-0.003899999999999999,0.0019576062480034695,-0.008098647820902558,2.986478209025612e-4,2004,Iceland,Europe
ITA,1,0.02858798586572438,0.010974536419270963,1415,4,0.028015680313790974,0.029160291417657788,NA,NA,NA,NA,1999,Italy,Europe
ITA,2,0.03820726495726495,0.022656887151575815,936,6,0.036753905779951725,0.03966062413457818,0.009619279091540572,7.95959332011704e-4,0.008058423215533036,0.011180134967548107,1999,Italy,Europe
JPN,1,0.015505332948976651,0.011639128208825995,3469,5,0.01511788087350107,0.01589278502445223,NA,NA,NA,NA,1995,Japan,Western Pacific
