record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,mic50_who_1,mic50_who_2,mic50_who_3,mic50_who_4,mic50_who_5,mic50_who_6,mic50_who_7,mic50_country_1,mic50_country_2,mic50_country_3,mic50_country_4,mic50_country_5,mic50_country_6,mic50_country_7,ddwho1,ddcountry1
116,data_extraction_arm_2,sr_data_extraction,4,,,,,,,,,,,,,,,4,Poland
116,data_extraction_arm_2,sr_data_extraction,5,,,,,,,,,,,,,,,4,Romania
116,data_extraction_arm_2,sr_data_extraction,6,,,,,,,,,,,,,,,4,Estonia
116,data_extraction_arm_2,sr_data_extraction,7,,,,,,,,,,,,,,,4,Latvia
116,data_extraction_arm_2,sr_data_extraction,8,,,,,,,,,,,,,,,4,Lithuania
117,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Turkey
119,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Sweden
120,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
121,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Taiwan
122,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,Taiwan,,,,,,,,
123,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Taiwan
124,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
124,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,4,"(not reported)"
126,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
126,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,6,Japan
126,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,6,Japan
126,data_extraction_arm_2,sr_data_extraction,4,,,,,,,,,,,,,,,6,Japan
126,data_extraction_arm_2,sr_data_extraction,5,,,,,,,,,,,,,,,6,Japan
127,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
130,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Taiwan
131,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,3,multiple
131,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,1,Multiple
132,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
133,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,China,,,,,,,,
136,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,Argentina
137,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
138,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
139,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Portugal
141,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
142,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
143,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
144,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
145,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Romania
148,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
150,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
151,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,Brazil
152,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Spain
152,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,4,Italy
152,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,4,Greece
152,data_extraction_arm_2,sr_data_extraction,4,,,,,,,,,,,,,,,4,Portugal
153,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
155,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,6,Japan
156,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,2,USA
157,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,4,Germany
158,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,Japan,,,,,,,,
160,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,1,Ethiopia
161,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,Nepal
162,data_extraction_arm_2,sr_data_extraction,1,,,,,,,,,,,,,,,5,India
162,data_extraction_arm_2,sr_data_extraction,2,,,,,,,,,,,,,,,5,India
162,data_extraction_arm_2,sr_data_extraction,3,,,,,,,,,,,,,,,5,India
162,data_extraction_arm_2,sr_data_extraction,4,,,,,,,,,,,,,,,5,India
