"record_id","redcap_repeat_instance","author","pub_yr","isolate_yr","who","country","alpha_3_code","count","mic50_1","mic90_1","micnos_1","mic90nos","micnos_q90","mic_90_agg"
56,1,"Ranin",2004,1995,4,"Serbia","SRB",2169,0.015,0.03,NA,0.03,NA,0.03
58,1,"Richter",2005,2003,2,"United States Of America (The)",NA,1885,0.008,0.015,NA,0.015,NA,0.015
59,1,"Sakata",2008,2006,6,"Japan","JPN",367,NA,0.008,NA,0.008,NA,0.008
61,1,"Sauermann",2003,2000,4,"Germany","DEU",540,0.015,0.03,NA,0.03,NA,0.03
62,1,"Schito",2002,1999,4,"Austria","AUT",137,NA,0.03,NA,0.03,NA,0.03
62,NA,"Schito",2002,1999,4,"Spain","ESP",137,NA,0.06,NA,0.06,NA,0.06
63,1,"Sefton",1996,1996,4,"United Kingdom Of Great Britain And Northern Ireland (The)",NA,40,0.015,0.015,NA,0.015,NA,0.015
64,1,"Shackcloth",2004,2001,4,"United Kingdom Of Great Britain And Northern Ireland (The)",NA,34,0.008,0.008,NA,0.008,NA,0.008
65,1,"Skoczynska",2007,2003,4,"Poland","POL",302,0.0075,0.015,NA,0.015,NA,0.015
69,1,"Stefani",2008,2007,4,"Italy","ITA",252,0.03,0.06,NA,0.06,NA,0.06
72,1,"Syrogiannopoulos",2001,1999,4,"Greece","GRC",274,0.008,0.008,NA,0.008,NA,0.008
73,1,"Szczypa",2006,2001,4,"Poland","POL",41,0.008,0.015,NA,0.015,NA,0.015
75,1,"Tempera",2010,2009,4,"Italy","ITA",225,0.03,0.06,NA,0.06,NA,0.06
78,1,"Traverso",2010,2002,2,"Argentina","ARG",10,NA,0.007,NA,0.007,NA,0.007
81,1,"Villalon",2021,2013,4,"Spain","ESP",1893,NA,0.032,NA,0.032,NA,0.032
82,1,"Villalon",2023,2014,4,"Spain","ESP",1983,0.016,0.023,NA,0.023,NA,0.023
83,1,"Wajima",2014,2012,6,"Japan","JPN",363,0.016,0.016,NA,0.016,NA,0.016
84,1,"Yu",2021,2017,6,"China","CHN",342,0.004,0.008,NA,0.008,NA,0.008
85,1,"Zhou",2013,2009,6,"China","CHN",20,0.015,0.015,NA,0.015,NA,0.015
87,1,"Abraham",2018,2015,5,"India","IND",206,0.016,0.016,NA,0.016,NA,0.016
88,1,"Amabile-Cuevas",2001,2001,2,"Mexico","MEX",197,0.012,0.032,NA,0.032,NA,0.032
93,1,"Bass",1994,1990,6,"Japan","JPN",104,0.015,0.06,NA,0.06,NA,0.06
93,NA,"Bass",1994,1990,6,"Japan","JPN",101,0.03,0.06,NA,0.06,NA,0.06
94,1,"Betlejewska",2002,1999,4,"Poland","POL",50,0.007,0.015,NA,0.015,NA,0.015
97,1,"Chang",2010,2007,6,"China","CHN",94,0.125,0.125,NA,0.125,NA,0.125
122,1,"Hsueh",2004,2002,6,"Taiwan (Province Of China)","TWN",205,0.03,0.03,NA,0.03,NA,0.03
133,1,"Liang",2008,2007,6,"China","CHN",145,0.125,0.125,NA,0.125,NA,0.125
158,1,"Ubukata",2020,2012,6,"Japan","JPN",634,0.016,0.016,NA,0.016,NA,0.016
249,1,"Kohno",2003,1999,NA,"Multiple",NA,1485,0.008,0.008,NA,0.008,NA,0.008
322,1,"Smayevsky",2000,1998,2,"Argentina","ARG",96,0.004,0.008,NA,0.008,NA,0.008
1,NA,NA,NA,2014,3,"Egypt","EGY",60,NA,NA,NA,NA,0.12,0.12
2,NA,NA,NA,2006,NA,"Unknown",NA,10,NA,NA,NA,NA,0.0204,0.0204
5,NA,NA,NA,2006,3,"Morocco","MAR",65,NA,NA,NA,NA,0.032,0.032
13,NA,NA,NA,2000,2,"Argentina","ARG",33,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,6,"Australia","AUS",25,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Austria","AUT",25,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Belgium","BEL",19,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,2,"Brazil","BRA",145,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,2,"Canada","CAN",208,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"France","FRA",31,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Germany","DEU",87,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,6,"Hong Kong","HKG",25,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Hungary","HUN",28,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,5,"Indonesia","IDN",6,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Italy","ITA",49,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,6,"Japan","JPN",120,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,6,"Korea (The Republic Of)",NA,57,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,2,"Mexico","MEX",99,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Netherlands (Kingdom Of The)",NA,13,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Poland","POL",12,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Portugal","PRT",42,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Spain","ESP",52,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Sweden","SWE",25,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Switzerland","CHE",114,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"Turkiye",NA,54,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,4,"United Kingdom Of Great Britain And Northern Ireland (The)",NA,42,NA,NA,NA,NA,0.008,0.008
13,NA,NA,NA,2000,2,"United States Of America (The)",NA,174,NA,NA,NA,NA,0.008,0.008
14,NA,NA,NA,1993,4,"Italy","ITA",190,NA,NA,NA,NA,0.06,0.06
16,NA,NA,NA,1996,4,"France","FRA",324,NA,NA,NA,NA,0.016,0.016
26,NA,NA,NA,1980,2,"United States Of America (The)",NA,280,NA,NA,NA,NA,0.0125,0.0125
28,NA,NA,NA,2015,6,"Japan","JPN",307,NA,NA,NA,NA,0.016,0.016
32,NA,NA,NA,1977,2,"United States Of America (The)",NA,140,NA,NA,NA,NA,0.016,0.016
35,NA,NA,NA,1996,4,"Austria","AUT",50,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1998,6,"Australia","AUS",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1991,2,"Canada","CAN",1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,1995,2,"Canada","CAN",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1998,2,"Canada","CAN",3,NA,NA,NA,NA,0.0152,0.0152
46,NA,NA,NA,2002,2,"Canada","CAN",2,NA,NA,NA,NA,0.0156,0.0156
46,NA,NA,NA,2003,2,"Canada","CAN",2,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1997,4,"Canada","CAN",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1995,4,"Finland","FIN",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1996,4,"Finland","FIN",1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,2000,4,"Finland","FIN",1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,2004,4,"Finland","FIN",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2006,4,"Finland","FIN",1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,2008,4,"Finland","FIN",2,NA,NA,NA,NA,0.0223,0.0223
46,NA,NA,NA,2010,4,"Finland","FIN",1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,2011,4,"Finland","FIN",2,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2012,4,"Finland","FIN",2,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2014,4,"Finland","FIN",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2015,4,"Finland","FIN",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1984,4,"Germany","DEU",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2006,4,"Iceland","ISL",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1997,4,"Italy","ITA",1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,2004,4,"Norway","NOR",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1998,4,"Sweden","SWE",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2007,4,"Sweden","SWE",1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,2016,4,"United Kingdom Of Great Britain And Northern Ireland (The)",NA,1,NA,NA,NA,NA,0.016,0.016
46,NA,NA,NA,1996,2,"United States Of America (The)",NA,1,NA,NA,NA,NA,0.012,0.012
46,NA,NA,NA,1998,2,"United States Of America (The)",NA,1,NA,NA,NA,NA,0.016,0.016
