"record_id","redcap_event_name","redcap_repeat_instrument","redcap_repeat_instance","author","pub_yr","isolate_yr","who","country","count","mic50_1","mic90_1","micnos_1","alpha_3_code","alpha_2_code","numeric","economy","income_group","redcap_number","median_year","med_grp","midpoint_year","midpoint_grp","mean_year","mean_grp"
13,"mic_data_extractio_arm_1","mic_data_extraction",4,"Canton",2002,2000,4,"Switzerland",114,NA,NA,0.008,"CHE","CH",756,"Switzerland","High income",216,2000,1,2000,1,2000,"1"
13,"mic_data_extractio_arm_1","mic_data_extraction",4,"Canton",2002,2000,4,"United Kingdom Of Great Britain And Northern Ireland (The)",42,NA,NA,0.008,"GBR","GB",826,"United Kingdom","High income",235,2008,1,2008,1,2008,"1"
13,"mic_data_extractio_arm_1","mic_data_extraction",4,"Canton",2002,2000,2,"Argentina",33,NA,NA,0.008,"ARG","AR",32,"Argentina","Upper middle income",11,2000,1,2000,1,2000,"1"
13,"mic_data_extractio_arm_1","mic_data_extraction",4,"Canton",2002,2000,2,"Brazil",145,NA,NA,0.008,"BRA","BR",76,"Brazil","Upper middle income",32,2004,1,2002,1,2003,"1"
13,"mic_data_extractio_arm_1","mic_data_extraction",4,"Canton",2002,2000,2,"Mexico",98,NA,NA,0.008,"MEX","MX",484,"Mexico","Upper middle income",144,2000,1,2000,1,2000,"1"
13,"mic_data_extractio_arm_1","mic_data_extraction",5,"Canton",2002,2000,2,"Mexico",1,NA,NA,0.015,"MEX","MX",484,"Mexico","Upper middle income",144,2000,1,2000,1,2000,"1"
13,"mic_data_extractio_arm_1","mic_data_extraction",5,"Canton",2002,2000,2,"Canada",207,NA,NA,0.008,"CAN","CA",124,"Canada","High income",40,2000,1,1997,2,1999,"2"
13,"mic_data_extractio_arm_1","mic_data_extraction",5,"Canton",2002,2000,2,"Canada",1,NA,NA,0.015,"CAN","CA",124,"Canada","High income",40,2000,1,1997,2,1999,"2"
13,"mic_data_extractio_arm_1","mic_data_extraction",5,"Canton",2002,2000,2,"United States Of America (The)",173,NA,NA,0.008,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1996,"2"
13,"mic_data_extractio_arm_1","mic_data_extraction",5,"Canton",2002,2000,2,"United States Of America (The)",1,NA,NA,0.015,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1996,"2"
16,"mic_data_extractio_arm_1","mic_data_extraction",1,"Cohen",1996,1996,4,"France",5,NA,NA,0.004,"FRA","FR",250,"France","High income",76,1996,1,1998,1,1996,"1"
16,"mic_data_extractio_arm_1","mic_data_extraction",1,"Cohen",1996,1996,4,"France",56,NA,NA,0.008,"FRA","FR",250,"France","High income",76,1996,1,1998,1,1996,"1"
16,"mic_data_extractio_arm_1","mic_data_extraction",1,"Cohen",1996,1996,4,"France",258,NA,NA,0.016,"FRA","FR",250,"France","High income",76,1996,1,1998,1,1996,"1"
16,"mic_data_extractio_arm_1","mic_data_extraction",1,"Cohen",1996,1996,4,"France",5,NA,NA,0.032,"FRA","FR",250,"France","High income",76,1996,1,1998,1,1996,"1"
104,"mic_data_extractio_arm_1","mic_data_extraction",1,"Feldman",1987,1987,2,"United States Of America (The)",20,NA,NA,0.02,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1996,"1"
108,"mic_data_extractio_arm_1","mic_data_extraction",1,"Fujita",1994,1985,6,"Japan",670,NA,NA,0.016,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1992,"1"
26,"mic_data_extractio_arm_1","mic_data_extraction",1,"Haddy",1982,1980,2,"United States Of America (The)",79,NA,NA,0.006,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1996,"1"
26,"mic_data_extractio_arm_1","mic_data_extraction",1,"Haddy",1982,1980,2,"United States Of America (The)",200,NA,NA,0.0125,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1996,"1"
26,"mic_data_extractio_arm_1","mic_data_extraction",1,"Haddy",1982,1980,2,"United States Of America (The)",1,NA,NA,0.025,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1996,"1"
28,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ikeda",2021,2015,6,"Japan",21,NA,NA,0.008,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1992,"2"
28,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ikeda",2021,2015,6,"Japan",276,NA,NA,0.016,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1992,"2"
28,"mic_data_extractio_arm_1","mic_data_extraction",1,"Ikeda",2021,2015,6,"Japan",10,NA,NA,0.03,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1992,"2"
239,"mic_data_extractio_arm_1","mic_data_extraction",1,"Kanellopoulou",1995,1993,4,"Greece",49,NA,NA,0.004,"GRC","GR",300,"Greece","High income",86,1993,1,1993,1,1993,"1"
32,"mic_data_extractio_arm_1","mic_data_extraction",1,"Kim",1985,1977,2,"United States Of America (The)",117,NA,NA,0.014,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1996,"1"
32,"mic_data_extractio_arm_1","mic_data_extraction",1,"Kim",1985,1977,2,"United States Of America (The)",23,NA,NA,0.016,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1996,"1"
35,"mic_data_extractio_arm_1","mic_data_extraction",1,"Kriebernegg",1998,1996,4,"Austria",50,NA,NA,0.016,"AUT","AT",40,"Austria","High income",15,2000,1,1998,1,1998,"1"
46,"mic_data_extractio_arm_1","mic_data_extraction",8,"Musser",2020,1984,4,"Germany",1,NA,NA,0.016,"DEU","DE",276,"Germany","High income",83,2000,1,1997,1,1998,"1"
46,"mic_data_extractio_arm_1","mic_data_extraction",1,"Musser",2020,1991,2,"Canada",1,NA,NA,0.012,"CAN","CA",124,"Canada","High income",40,2000,1,1997,1,1999,"1"
46,"mic_data_extractio_arm_1","mic_data_extraction",3,"Musser",2020,1995,4,"Finland",1,NA,NA,0.016,"FIN","FI",246,"Finland","High income",75,2009,1,2005,1,2007,"1"
46,"mic_data_extractio_arm_1","mic_data_extraction",5,"Musser",2020,1995,2,"Canada",1,NA,NA,0.016,"CAN","CA",124,"Canada","High income",40,2000,1,1997,1,1999,"1"
46,"mic_data_extractio_arm_1","mic_data_extraction",1,"Musser",2020,1996,4,"Finland",1,NA,NA,0.012,"FIN","FI",246,"Finland","High income",75,2009,1,2005,1,2007,"1"
