record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,author,pub_yr,isolate_yr,who,country,count,mic50_1,mic90_1,micnos_1
18,mic_data_extractio_arm_1,mic_data_extraction,1,de Almeida Torres,2011,2001,2,Brazil,1112,0.015,0.03,
19,mic_data_extractio_arm_1,mic_data_extraction,1,d'Humières,2012,2010,4,France,9,0.008,0.008,
19,,,,d'Humières,2012,2010,4,France,10,0.006,0.008,
20,mic_data_extractio_arm_1,mic_data_extraction,1,Dohar,2004,2001,,worldwide,39,0.008,0.008,
21,mic_data_extractio_arm_1,mic_data_extraction,1,Felmingham,2004,1999,,worldwide,640,0.008,0.008,
22,mic_data_extractio_arm_1,mic_data_extraction,1,Forsgren,1994,1986,4,Sweden,100,0.015,0.015,
23,mic_data_extractio_arm_1,mic_data_extraction,1,Gattringer,2004,2000,4,Austria,150,0.015,0.03,
23,,,,Gattringer,2004,2000,4,Hungary,191,0.015,0.03,
24,mic_data_extractio_arm_1,mic_data_extraction,1,Gene,1998,1997,4,Spain,100,0.012,0.016,
26,mic_data_extractio_arm_1,mic_data_extraction,1,Haddy,1982,1980,2,USA,79,,,0.006
26,,,,Haddy,1982,1980,2,USA,200,,,0.0125
26,,,,Haddy,1982,1980,2,USA,1,,,0.025
27,mic_data_extractio_arm_1,mic_data_extraction,1,Ikebe,2015,2011,6,Japan,249,0.008,0.008,
28,mic_data_extractio_arm_1,mic_data_extraction,1,Ikeda,2021,2015,6,Japan,21,,,0.008
28,mic_data_extractio_arm_1,mic_data_extraction,2,Ikeda,2021,2015,6,Japan,276,,,0.016
28,,,,Ikeda,2021,2015,6,Japan,10,,,0.03
29,mic_data_extractio_arm_1,mic_data_extraction,1,Inoue,2005,1999,6,Japan,120,,0.008,
30,mic_data_extractio_arm_1,mic_data_extraction,1,Inoue,2006,2000,6,Japan,161,0.008,0.008,
30,,,,Inoue,2006,2001,6,Japan,182,0.008,0.008,
31,mic_data_extractio_arm_1,mic_data_extraction,1,Kaplan,1999,1995,2,USA,301,,0.016,
32,mic_data_extractio_arm_1,mic_data_extraction,1,Kim,1985,1977,2,USA,117,,,0.014
32,,,,Kim,1985,1977,2,USA,23,,,0.016
33,mic_data_extractio_arm_1,mic_data_extraction,1,King,2001,1995,4,UK,50,0.008,0.016,
34,mic_data_extractio_arm_1,mic_data_extraction,1,Koeth,2004,2000,4,Italy,64,0.015,0.015,
34,,,,Koeth,2004,2000,4,Spain,47,0.015,0.015,
34,,,,Koeth,2004,2000,4,Belgium,50,0.015,0.015,
34,,,,Koeth,2004,2000,4,France,51,0.015,0.015,
34,,,,Koeth,2004,2000,2,Mexico,47,0.015,0.015,
34,,,,Koeth,2004,2000,4,Germany,50,0.015,0.015,
34,,,,Koeth,2004,2000,4,Sweden,47,0.015,0.015,
34,mic_data_extractio_arm_1,mic_data_extraction,2,Koeth,2004,2000,2,USA,135,0.015,0.015,
34,,,,Koeth,2004,2000,6,Australia,53,0.015,0.015,
34,,,,Koeth,2004,2000,2,Canada,50,0.015,0.015,
34,,,,Koeth,2004,2000,4,Netherlands,49,0.015,0.015,
35,mic_data_extractio_arm_1,mic_data_extraction,1,Kriebernegg,1998,1996,4,Austria,50,,,0.016
36,mic_data_extractio_arm_1,mic_data_extraction,1,Lehtonen,1993,1993,4,Finland,151,0.016,0.03,
37,mic_data_extractio_arm_1,mic_data_extraction,1,Limia,1998,1994,4,Spain,70,0.008,0.008,
38,mic_data_extractio_arm_1,mic_data_extraction,1,Lopardo,1997,1994,2,Argentina,595,0.007,0.03,
39,mic_data_extractio_arm_1,mic_data_extraction,1,Macris,1998,1928,2,USA,8,,0.016,
39,,,,Macris,1998,1950,2,USA,8,,0.016,
39,,,,Macris,1998,1970,2,USA,10,,0.032,
39,,,,Macris,1998,1988,2,USA,6,,0.023,
39,mic_data_extractio_arm_1,mic_data_extraction,2,Macris,1998,1928,2,USA,21,,0.031,
39,,,,Macris,1998,1950,2,USA,29,,0.031,
39,,,,Macris,1998,1970,2,USA,24,,0.031,
39,,,,Macris,1998,1988,2,USA,59,,0.031,
40,mic_data_extractio_arm_1,mic_data_extraction,1,Malhotra-Kumar,2003,2002,4,Belgium,16,,0.01,
41,mic_data_extractio_arm_1,mic_data_extraction,1,Marchese,2004,2001,4,Italy,60,0.015,0.03,
41,,,,Marchese,2004,2001,4,Italy,40,0.0075,0.0075,
42,mic_data_extractio_arm_1,mic_data_extraction,1,Mariani-Kurkdjian,2003,2002,4,France,93,0.016,0.016,
